9	a	8	0
1	a	1	0
13	a	1	0
17	a	1	1
48	a	2	1
17	a	1	1
19	a	9	1
13	a	23	1
13	a	11	1
23	a	23	1
35	a	33	1
39	a	33	1
43	a	22	1
17	a	32	1
39	a	40	1
37	a	40	1
45	a	45	1
17	a	17	1
49	a	13	1
13	a	23	1
50	a	37	1
40	a	37	1
55	a	8	1
51	a	32	1
60	a	2	1
39	a	8	1
59	a	59	1
61	a	58	1
25	a	61	1
40	a	59	1
2089740	a	61	1
25	a	61	1
59	a	59	1
72	a	9	1
61	a	39	1
36	a	39	1
146270	a	72	1
34	a	39	1
60	a	72	1
17	a	72	1
58	a	72	1
26	a	26	1
35	a	58	1
26	a	58	1
59	a	78	1
72	a	48	1
72	a	58	1
71	a	48	1
42	a	58	1
86	a	58	1
146637	a	37	1
71	a	30	1
80	a	87	1
44	a	87	1
146637	a	30	1
59	a	30	1
146637	a	59	1
9	a	72	1
70	a	30	1
42	a	39	1
17	a	48	1
33	a	39	1
17	a	83	1
30	a	91	1
93	a	58	1
59	a	83	1
86	a	78	1
55	a	78	1
80	a	83	1
71	a	60	1
50	a	2089740	1
35	a	71	1
50	a	91	1
39	a	91	1
96	a	91	1
91	a	1	1
71	a	62	1
91	a	62	1
48	a	91	1
34	a	91	1
71	a	91	1
55	a	146637	1
55	a	91	1
34	a	105	1
101	a	105	1
91	a	91	1
40	a	146637	1
55	a	146637	1
40	a	146637	1
106	a	96	1
109	a	109	1
91	a	109	1
40	a	91	1
49	a	109	1
91	a	71	1
49	a	91	1
55	a	106	1
59	a	59	1
58	a	59	1
59	a	63	1
50	a	59	1
61	a	111	1
59	a	61	1
59	a	111	1
100	a	91	1
50	a	61	1
5	a	32	1
116	a	61	1
116	a	106	1
115	a	9	1
119	a	91	1
109	a	106	1
80	a	115	1
117	a	106	1
122	a	115	1
116	a	61	1
115	a	146637	1
124	a	49	1
122	a	122	1
91	b	17	1
91	b	48	1
106	c	71	1
100	c	106	1
35	c	48	1
118	a	115	2
134	a	134	2
91	a	134	2
136	a	49	2
135	a	25	2
137	a	91	2
137	a	40	2
123	a	72	2
136	a	91	2
17	a	49	2
144	a	2	2
147	a	111	2
49	a	71	2
147	a	136	2
50	a	147	2
143	a	77	2
150	a	83	2
153	a	147	2
136	a	151	2
154	a	83	2
156	a	61	2
154	a	111	2
86	a	2089740	2
86	a	104	2
157	a	13	2
86	a	105	2
161	a	147	2
156	a	61	2
156	a	154	2
157	a	2089740	2
154	a	78	2
157	a	154	2
156	a	134	2
136	a	136	2
154	a	25	2
58	a	25	2
163	a	49	2
39	a	25	2
149	a	91	2
34	a	91	2
116	a	157	2
116	a	91	2
111	a	91	2
116	a	116	2
76	a	91	2
175	a	49	2
175	a	83	2
175	a	136	2
156	a	61	2
13	a	25	2
173	a	172	2
183	a	151	2
154	a	184	2
122	a	136	2
33	a	172	2
188	a	111	2
136	c	25	2
95	c	83	2
91	a	143	3
197	a	154	3
197	a	191	3
197	a	104	3
117	a	115	3
199	a	146637	3
51	a	40	3
200	a	59	3
51	a	191	3
34	a	115	3
209	a	49	3
206	a	32	3
30	a	91	3
111	a	199	3
200	a	204	3
46	a	91	3
51	a	91	3
91	a	111	3
34	a	111	3
27	a	111	3
216	a	136	3
205	a	192	3
145	a	199	3
173	a	91	3
154	a	199	3
192	a	192	3
58	a	192	3
199	a	199	3
219	a	192	3
192	a	192	3
142	a	192	3
34	a	192	3
214	a	214	3
51	a	214	3
214	a	96	3
175	a	214	3
175	a	192	3
157	a	79	3
150	a	1384652	3
229	a	79	3
189	a	207	3
175	a	143	3
175	a	184	3
157	a	157	3
227	a	192	3
227	a	9	3
230	a	111	3
1384652	a	1384652	3
234	a	9	3
233	a	233	3
91	a	233	3
234	a	233	3
200	a	101	3
204	a	204	3
224	a	224	3
60	a	186	3
101	a	101	3
93	a	238	3
204	a	238	3
34	a	93	3
91	a	93	3
233	a	233	3
